bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.59,4.530000,5.85277483792
0.59,4.525000,20.2581110715
0.59,4.520000,4.47049060462
0.59,4.515000,9.06950217142
0.59,4.510000,2.25525915108
0.59,4.505000,0.786376386421
0.59,4.500000,1.60804215708
0.59,4.495000,2.89432013748
0.59,4.490000,1.22139588382
0.59,4.485000,6.24161682328
0.59,4.480000,5.22563030858
0.59,4.475000,5.76330998948
0.59,4.470000,5.35188880958
0.59,4.465000,0.765352215179
0.59,4.460000,2.01271392658
0.59,4.455000,0.816358740679
0.59,4.450000,4.09070197998
0.59,4.445000,3.12018871128
0.59,4.440000,1.24884526458
0.59,4.435000,4.31127945078
0.59,4.430000,0.908064928179
0.59,4.425000,3.59578209208
0.59,4.420000,2.79067005358
0.59,4.415000,5.12614332278
0.59,4.410000,0.843290113079
0.59,4.405000,3.03835792618
0.59,4.400000,2.91111699928
0.59,4.395000,3.38434897152
0.59,4.390000,1.46710516128
0.59,4.385000,3.16102269298
0.59,4.380000,3.06663390062
0.59,4.375000,0.901287095779
0.59,4.370000,1.93659748108
0.59,4.365000,0.559187920621
0.59,4.360000,0.148265469621
0.59,4.355000,1.38751078012
0.59,4.350000,6.45699428598
0.59,4.345000,6.27800735898
0.59,4.340000,3.68146572668
0.59,4.335000,1.50571007258
0.59,4.330000,6.33165780888
0.59,4.325000,0.993034604779
0.59,4.320000,6.84175861978
0.59,4.315000,2.90995734668
0.59,4.310000,6.44277870488
0.59,4.305000,8.31750197318
0.60,4.945000,6.89482383548
0.60,4.940000,5.90517978908
0.60,4.935000,5.36473312538
0.60,4.930000,7.65616764738
0.60,4.925000,5.49897633788
0.60,4.920000,10.4928446023
0.60,4.915000,7.62279602498
0.60,4.910000,12.7925815902
0.60,4.905000,1.15127174982
0.60,4.900000,10.2073733909
0.60,4.895000,8.84033536628
0.60,4.890000,4.60246753628
0.60,4.885000,2.61093397348
0.60,4.880000,8.17041526948
0.60,4.875000,9.27834878868
0.60,4.870000,7.52323146358
0.60,4.865000,13.5975852428
0.60,4.860000,12.7497566178
0.60,4.855000,11.3504981472
0.60,4.850000,10.4204990083
0.60,4.845000,16.577618925
0.60,4.840000,14.6063506629
0.60,4.835000,18.4204482371
0.60,4.830000,20.5299153178
0.60,4.825000,23.2773165244
0.60,4.820000,29.1068615128
